seed,trained,evaluated,crashrate,mergerate,ego speed,road speed
1084, No Interference, 12, 0.06666666666666667, 0.8533333333333334, 15.585424223588214, 20.43590722342915
1084, 3, 12, 0.043333333333333335, 0.9433333333333334, 21.27551099755777, 20.96959327802775
1084, 5, 12, 0.03666666666666667, 0.9533333333333334, 22.23064812453626, 21.15717911059464
1084, 12, 12, 0.02666666666666667, 0.9733333333333334, 23.028892313977174, 21.174493424628697
1084, 20, 12, 0.043333333333333335, 0.9566666666666667, 21.204222876485233, 21.05273705539766
1084, 30, 12, 0.03666666666666667, 0.96, 20.237784875978846, 21.021690659320356
115, No Interference, 12, 0.08, 0.8733333333333333, 15.651180717913753, 20.402249388321014
115, 3, 12, 0.03333333333333333, 0.9566666666666667, 21.296951125732868, 21.038584916357006
115, 5, 12, 0.04666666666666667, 0.94, 22.375931511156548, 21.203686146247428
115, 12, 12, 0.03, 0.97, 22.643822205935656, 21.10198524857862
115, 20, 12, 0.03333333333333333, 0.9633333333333334, 21.118097081620917, 21.01346034549764
115, 30, 12, 0.02, 0.9766666666666667, 20.637617846065393, 21.18113510046606
21, No Interference, 15, 0.06666666666666667, 0.8466666666666667, 15.174993905901225, 20.511657394252428
21, 3, 15, 0.03666666666666667, 0.9433333333333334, 21.55098700589397, 21.112495305563478
21, 5, 15, 0.05, 0.9366666666666666, 22.24783431162285, 21.146948952078986
21, 12, 15, 0.016666666666666666, 0.9833333333333333, 22.995249557675372, 21.10400815291093
21, 20, 15, 0.03, 0.97, 21.19631840002019, 21.19647035645625
21, 30, 15, 0.04, 0.9566666666666667, 20.497671446631237, 21.11467995967979
42, No Interference, 15, 0.06333333333333334, 0.8533333333333334, 14.746040878817366, 20.280387082094336
42, 3, 15, 0.03333333333333333, 0.9566666666666667, 21.50377691641097, 21.041228804510094
42, 5, 15, 0.04666666666666667, 0.9366666666666666, 22.51708363069178, 21.185030885615213
42, 12, 15, 0.03, 0.9666666666666667, 22.978965340592996, 21.14036044188081
42, 20, 15, 0.06, 0.9366666666666666, 21.421185142310495, 21.176534287810686
42, 30, 15, 0.04666666666666667, 0.9466666666666667, 20.553181945429678, 20.95486739697892
112, No Interference, 15, 0.08666666666666667, 0.8633333333333333, 14.867992557977828, 20.29603753666223
112, 3, 15, 0.03666666666666667, 0.9566666666666667, 21.42911532929022, 21.0731912561223
112, 5, 15, 0.03333333333333333, 0.94, 22.401396875761286, 21.21749826629401
112, 12, 15, 0.02666666666666667, 0.9666666666666667, 22.885331122131614, 21.228805482293865
112, 20, 15, 0.04, 0.96, 21.191932999090206, 21.161077235435936
112, 30, 15, 0.02666666666666667, 0.9733333333333334, 20.486320753179086, 21.019761800950313
