rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,z/env_steps,z/rollouts,z/rl_steps,metrics/total_steps_eval,metrics/return_eval_total,metrics/success_rate_eval,z/time_cost,z/fps
101.2826,101.3974,9.8703,1.1882,1.8627,,,,,,,,
113.9878,113.352,9.1304,1.1484,1.8554,,,,,,,,
126.7681,126.949,9.6566,1.1356,1.8461,,,,,,,,
84.2561,87.2073,8.6585,1.2042,1.8421,,,,,,,,
103.7204,99.5452,9.0589,1.157,1.8307,,,,,,,,
120.3195,121.2051,10.0038,1.2325,1.816,,,,,,,,
105.4322,105.3492,8.6859,1.1855,1.796,,,,,,,,
,,,,,28570,429,5792,77.5,-99.4085,0.0,507,53.4288
95.6715,95.2108,8.4128,1.1236,1.7834,,,,,,,,
102.6339,106.0696,8.7539,1.096,1.7841,,,,,,,,
